time,q_hip,q_thigh,q_calf,qd_hip,qd_thigh,qd_calf,dq_hip,dq_thigh,dq_calf,dqd_hip,dqd_thigh,dqd_calf,cmd_hip,cmd_thigh,cmd_calf,cmd_unsat_hip,cmd_unsat_thigh,cmd_unsat_calf,foot_x,foot_y,foot_z,foot_desired_x,foot_desired_y,foot_desired_z,pos_error_norm,vel_error_norm,foot_error_norm_m,command_saturated
0.0,0.0,0.8,-1.5,0.0,0.8,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16587231926763366,-0.1308,-0.29230977932633084,0.16587231926763366,-0.1308,-0.29230977932633084,0.0,0.0,0.0,False
0.002,7.672390884003602e-12,0.8000000000097631,-1.4999999999923257,2.2483128375e-10,0.8000000003122657,-1.4999999996877342,3.836195442001801e-09,4.881520513056292e-09,3.837103243541969e-09,3.37162584375e-07,4.682813671875e-07,4.682813671875e-07,8.63143974450405e-08,1.3424181410904803e-07,1.0552033919740416e-07,8.63143974450405e-08,1.3424181410904803e-07,1.0552033919740416e-07,0.16587231926360585,-0.13079999999775727,-0.29230977932781976,0.16587231912858852,-0.1307999999342796,-0.29230977938083735,4.810839367583588e-10,7.359037802372367e-07,1.5833495741135454e-10,False
0.004,4.629048565703025e-11,0.8000000000589859,-1.4999999999536038,1.79730108e-09,0.8000000024962516,-1.4999999975037486,1.9309047386513323e-08,2.4611354034655283e-08,1.9360941947650123e-08,1.34730135e-06,1.871251875e-06,1.871251875e-06,3.5197536419351095e-07,5.474519423570284e-07,4.307426676065162e-07,3.5197536419351095e-07,5.474519423570284e-07,4.307426676065162e-07,0.16587231924329432,-0.13079999998646885,-0.292309779335325,0.16587231815610723,-0.13079999947463133,-0.29230977976205613,3.874027986745838e-09,2.9331117942201474e-06,1.2751677880915443e-09,False
0.006,1.5487367824887215e-10,0.8000000001976497,-1.4999999998444302,6.06133945125e-09,0.8000000084185271,-1.499999991581473,5.429159629592094e-08,6.933190594072215e-08,5.4586781337113036e-08,3.0283943343749998e-06,4.2061032421875e-06,4.2061032421875e-06,8.064163978481845e-07,1.2544265314514944e-06,9.8807152515788e-07,8.064163978481845e-07,1.2544265314514944e-06,9.8807152515788e-07,0.1658723191860614,-0.13079999995472893,-0.2923097793564622,0.16587231551904688,-0.1307999982282112,-0.2923097807958003,1.3066966952824477e-08,6.572157416690059e-06,4.3011106894184265e-09,False
0.008,3.883088913144601e-10,0.8000000004963371,-1.4999999996090663,1.435683456e-08,0.800000019940048,-1.499999980059952,1.1671760653279397e-07,1.4934371044783712e-07,1.1768196353506695e-07,5.3784216e-06,7.47003e-06,7.47003e-06,1.458876826625564e-06,2.269656529886384e-06,1.7897042917808458e-06,1.458876826625564e-06,2.269656529886384e-06,1.7897042917808458e-06,0.16587231906274896,-0.13079999988649352,-0.2923097794019801,0.16587231038876457,-0.1307999958033568,-0.29230978280690306,3.0908663388879573e-08,1.1633357138599996e-05,1.0173667530074008e-08,False
0.01,8.174495342673239e-10,0.8000000010465145,-1.4999999991751605,2.801963671875e-08,0.8000000389161621,-1.499999961083838,2.1457032147643194e-07,2.750886465548391e-07,2.1695286543234556e-07,8.395365234375e-06,1.16602294921875e-05,1.16602294921875e-05,2.3184036927646484e-06,3.607329453390392e-06,2.8476317657102286e-06,2.3184036927646484e-06,3.607329453390392e-06,2.8476317657102286e-06,0.16587231883555284,-0.1307999997610515,-0.2923097794858003,0.16587230193911412,-0.13079999180958604,-0.29230978611921843,6.020812281485411e-08,1.809683445904949e-05,1.9817105759762092e-08,False
0.012,1.5291931429178516e-09,0.8000000019607821,-1.4999999984534957,4.838156244e-08,0.8000000671966145,-1.4999999328033855,3.558718043252639e-07,4.571338328382953e-07,3.6083235528133686e-07,1.2077209349999999e-05,1.6773901875e-05,1.6773901875e-05,3.39385368557515e-06,5.281331269349886e-06,4.1736388362796064e-06,3.39385368557515e-06,5.281331269349886e-06,4.1736388362796064e-06,0.1658723184579115,-0.1307999995530019,-0.29230977962505256,0.1658722893464441,-0.1307999858575957,-0.29230979105562255,1.0373425332139848e-07,2.5942542748552458e-05,3.414234344057023e-08,False
0.014,2.6265388240587114e-09,0.8000000033730945,-1.4999999973377602,7.677039848625e-08,0.8000001066255534,-1.4999998933744465,5.486728405704299e-07,7.061561820088731e-07,5.578677327271355e-07,1.6421940084375e-05,2.2808250117187503e-05,2.2808250117187503e-05,4.693895119841499e-06,7.3052484350291816e-06,5.779305235040799e-06,4.693895119841499e-06,7.3052484350291816e-06,5.779305235040799e-06,0.1658723178744065,-0.130799999232237,-0.29230977984010664,0.1658722717895952,-0.13079997755926057,-0.29230979793801404,1.642155680827432e-07,3.5150287133498687e-05,5.404684997754535e-08,False
0.016,4.2286255820822405e-09,0.8000000054389497,-1.499999995704342,1.1450990592e-07,0.8000001590415361,-1.499999840958464,8.010433790117644e-07,1.0329275953704013e-06,8.167091381200515e-07,2.14275456e-05,2.976048e-05,2.976048e-05,6.227009955500456e-06,9.692370049450902e-06,7.676006381032325e-06,6.227009955500456e-06,9.692370049450902e-06,7.676006381032325e-06,0.1658723170206754,-0.1307999987639314,-0.2923097801545982,0.16587224844989737,-0.13079996652763204,-0.2923098070873148,2.4433993139496357e-07,4.569974543406323e-05,8.041456223470905e-08,False
0.018000000000000002,6.470752560167274e-09,0.8000000083355512,-1.499999993412145,1.6291982415375003e-07,0.8000002262775335,-1.4999997737224664,1.121063489042517e-06,1.4483007779260123e-06,1.1460984172594428e-06,2.7092016084375003e-05,3.762780011718751e-05,3.762780011718751e-05,8.001495854703695e-06,1.2455690115649704e-05,9.874914314453314e-06,8.001495854703695e-06,1.2455690115649704e-05,9.874914314453314e-06,0.16587231582333664,-0.13079999810853574,-0.2923097805954526,0.16587221851116749,-0.13079995237693684,-0.2923098188234713,3.4675434328604656e-07,5.7570488186840704e-05,1.1411581317615395e-07,False
